,0
0,StateApplicant
1,VehicleMakeNADA
2,EmploymentJobTypeApplicant
3,Vintage
4,ChargeOffMOB
5,BalanceAtDefault
6,JointIndicator
7,FICOScore
8,NewUsedIndicator
9,VehicleManufacturerRebate
10,VehicleAge
11,VehicleMileage
12,VehicleValueBlackBook
13,TradeInIndicator
14,TradeInAmt
15,MoodysUsedVehicleIndex
16,MoodysGasoline
17,FinancedAmt
18,LTVLine3
19,LTVLine5
20,LTVLine3ExclRebate
21,CashDownPmt
22,CashDownPmtPctBBVehicleValue
23,CashDownPmtPctLine3
24,PaymentAmt
25,BackendGapAmt
26,BackendWarrantyAmt
27,BackendTotalAmt
28,BackendTotalPctBBVehicleValueGTE13PctIndicator
29,TotalDownPmt
30,TotalDownPmtPctBBVehicleValue
31,TotalDownPmtPctLine3
32,DealerReserve
33,ContractRate
34,DealerFeeNet
35,EmploymentMonthsSinceHiredCurrentEmployerApplicant
36,CreditBureauNumTrades
37,CreditBureauNumCollections
38,NumExceptionALL
39,NumExceptionDTI
40,NumPriorCrescentApplicationsLast60Days
41,NumPriorCrescentApplicationsLast180Days
42,JDPUVIDiffCOFromOrig
43,MoodysUVIDiffCOFromOrig
44,classifier_score
